Title,RSS Feed Url,Domain
Articles on Smashing Magazine — For Web Designers And Developers,https://www.smashingmagazine.com/feed,smashingmagazine.com
Boxes and Arrows,http://boxesandarrows.com/rss/,boxesandarrows.com
JUST™ Creative,https://feeds.feedburner.com/JustCreativeDesignBlog,justcreative.com
NN/g latest articles and announcements,https://www.nngroup.com/feed/rss/,nngroup.com
UX Collective - Medium,https://uxdesign.cc/feed,uxdesign.cc
UX Movement,https://uxmovement.com/feed/,uxmovement.com
Usability Geek,https://usabilitygeek.com/feed/,usabilitygeek.com
